// trade log:
trade 0: size: 20, entry: 5271.6298828125 at tick 16, exit: 5271.85986328125 at tick 23, pnl: 4.599609375
trade 1: size: -20, entry: 5272.60986328125 at tick 27, exit: 5272.3798828125 at tick 30, pnl: 4.599609375
trade 2: size: -20, entry: 5272.6298828125 at tick 28, exit: 5272.3798828125 at tick 30, pnl: 5
trade 3: size: -20, entry: 5272.6201171875 at tick 30, exit: 5272.3798828125 at tick 30, pnl: 4.8046875
trade 4: size: -20, entry: 5272.8798828125 at tick 33, exit: 5272.6298828125 at tick 34, pnl: 5
trade 5: size: -20, entry: 5272.85986328125 at tick 34, exit: 5272.6298828125 at tick 34, pnl: 4.599609375
trade 6: size: 20, entry: 5271.85986328125 at tick 37, exit: 5272.35986328125 at tick 38, pnl: 10
trade 7: size: 20, entry: 5271.8701171875 at tick 38, exit: 5272.35986328125 at tick 38, pnl: 9.794921875
trade 8: size: -20, entry: 5273.1298828125 at tick 42, exit: 5273.3798828125 at tick 43, pnl: -5
trade 9: size: -20, entry: 5273.3798828125 at tick 43, exit: 5273.60986328125 at tick 48, pnl: -4.599609375
trade 10: size: -20, entry: 5273.6298828125 at tick 44, exit: 5273.60986328125 at tick 48, pnl: 0.400390625
trade 11: size: -20, entry: 5273.8798828125 at tick 45, exit: 5273.60986328125 at tick 48, pnl: 5.400390625
trade 12: size: 20, entry: 5273.1298828125 at tick 59, exit: 5272.6298828125 at tick 62, pnl: -10
trade 13: size: 20, entry: 5272.8701171875 at tick 60, exit: 5272.85986328125 at tick 65, pnl: -0.205078125
trade 14: size: 20, entry: 5272.8701171875 at tick 61, exit: 5272.85986328125 at tick 65, pnl: -0.205078125
trade 15: size: 20, entry: 5272.3701171875 at tick 63, exit: 5272.85986328125 at tick 65, pnl: 9.794921875
trade 16: size: -20, entry: 5273.10986328125 at tick 68, exit: 5272.8798828125 at tick 71, pnl: 4.599609375
trade 17: size: -20, entry: 5273.10986328125 at tick 69, exit: 5272.8798828125 at tick 71, pnl: 4.599609375
trade 18: size: -20, entry: 5273.3798828125 at tick 76, exit: 5273.1201171875 at tick 79, pnl: 5.1953125
trade 19: size: 20, entry: 5272.8701171875 at tick 77, exit: 5273.1201171875 at tick 79, pnl: 5
trade 20: size: -20, entry: 5273.3701171875 at tick 78, exit: 5273.1201171875 at tick 79, pnl: 5
trade 21: size: 20, entry: 5272.8701171875 at tick 81, exit: 5273.1298828125 at tick 84, pnl: 5.1953125
trade 22: size: 20, entry: 5272.8798828125 at tick 82, exit: 5273.1298828125 at tick 84, pnl: 5
trade 23: size: -20, entry: 5273.3701171875 at tick 86, exit: 5273.1201171875 at tick 86, pnl: 5
trade 24: size: 20, entry: 5272.60986328125 at tick 88, exit: 5272.8701171875 at tick 89, pnl: 5.205078125
trade 25: size: 20, entry: 5272.3701171875 at tick 89, exit: 5272.8701171875 at tick 89, pnl: 10
trade 26: size: 20, entry: 5272.1201171875 at tick 95, exit: 5272.35986328125 at tick 96, pnl: 4.794921875
trade 27: size: 20, entry: 5271.3701171875 at tick 97, exit: 5271.6298828125 at tick 101, pnl: 5.1953125
trade 28: size: 20, entry: 5271.3701171875 at tick 98, exit: 5271.6298828125 at tick 101, pnl: 5.1953125
trade 29: size: 20, entry: 5271.10986328125 at tick 105, exit: 5271.35986328125 at tick 107, pnl: 5
trade 30: size: 20, entry: 5271.1201171875 at tick 106, exit: 5271.35986328125 at tick 107, pnl: 4.794921875
trade 31: size: -20, entry: 5271.85986328125 at tick 109, exit: 5271.6298828125 at tick 110, pnl: 4.599609375
trade 32: size: -20, entry: 5271.8798828125 at tick 110, exit: 5271.6298828125 at tick 110, pnl: 5
trade 33: size: 20, entry: 5271.1201171875 at tick 118, exit: 5271.1298828125 at tick 120, pnl: 0.1953125
trade 34: size: 20, entry: 5270.8701171875 at tick 123, exit: 5270.3798828125 at tick 126, pnl: -9.8046875
trade 35: size: 20, entry: 5270.35986328125 at tick 128, exit: 5270.6201171875 at tick 131, pnl: 5.205078125
trade 36: size: -20, entry: 5271.10986328125 at tick 133, exit: 5270.85986328125 at tick 136, pnl: 5
trade 37: size: -20, entry: 5271.1201171875 at tick 135, exit: 5270.85986328125 at tick 136, pnl: 5.205078125
trade 38: size: 20, entry: 5270.3798828125 at tick 139, exit: 5270.60986328125 at tick 143, pnl: 4.599609375
trade 39: size: 20, entry: 5270.1298828125 at tick 147, exit: 5270.3701171875 at tick 147, pnl: 4.8046875
trade 40: size: 20, entry: 5270.10986328125 at tick 152, exit: 5269.85986328125 at tick 160, pnl: -5
trade 41: size: 20, entry: 5269.35986328125 at tick 165, exit: 5269.8798828125 at tick 165, pnl: 10.400390625
trade 42: size: -20, entry: 5270.10986328125 at tick 169, exit: 5270.3701171875 at tick 173, pnl: -5.205078125
trade 43: size: -20, entry: 5270.6298828125 at tick 175, exit: 5270.35986328125 at tick 175, pnl: 5.400390625
trade 44: size: -20, entry: 5270.6201171875 at tick 178, exit: 5270.6201171875 at tick 183, pnl: -0
trade 45: size: 20, entry: 5270.1298828125 at tick 188, exit: 5270.1201171875 at tick 191, pnl: -0.1953125
trade 46: size: 20, entry: 5269.60986328125 at tick 197, exit: 5269.8701171875 at tick 197, pnl: 5.205078125
