// trade log:
trade 0: size: -100, entry: 4164.5400390625 at tick 35, exit: 4164.27978515625 at tick 37, pnl: 26.025390625
trade 1: size: 100, entry: 4164.27978515625 at tick 37, exit: 4165.02978515625 at tick 39, pnl: 75
trade 2: size: 100, entry: 4164.2998046875 at tick 40, exit: 4164.27978515625 at tick 41, pnl: -2.001953125
trade 3: size: 100, entry: 4164.27978515625 at tick 36, exit: 4164.27978515625 at tick 41, pnl: 0
trade 4: size: -100, entry: 4165.02978515625 at tick 39, exit: 4164.27978515625 at tick 41, pnl: 75
trade 5: size: 100, entry: 4164.27978515625 at tick 41, exit: 4164.27978515625 at tick 41, pnl: 0
trade 6: size: -100, entry: 4166.2900390625 at tick 44, exit: 4167.52978515625 at tick 45, pnl: -123.974609375
trade 7: size: -100, entry: 4167.52978515625 at tick 45, exit: 4167.5498046875 at tick 46, pnl: -2.001953125
trade 8: size: -100, entry: 4167.5498046875 at tick 47, exit: 4166.7998046875 at tick 47, pnl: 75
trade 9: size: 100, entry: 4167.0498046875 at tick 49, exit: 4167.2998046875 at tick 49, pnl: 25
trade 10: size: 100, entry: 4167.2900390625 at tick 54, exit: 4167.2998046875 at tick 54, pnl: 0.9765625
trade 11: size: -100, entry: 4168.2900390625 at tick 62, exit: 4167.7998046875 at tick 62, pnl: 49.0234375
trade 12: size: 100, entry: 4167.0498046875 at tick 69, exit: 4167.52978515625 at tick 69, pnl: 47.998046875
trade 13: size: -100, entry: 4168.2998046875 at tick 74, exit: 4168.0498046875 at tick 75, pnl: 25
trade 14: size: -100, entry: 4168.5400390625 at tick 73, exit: 4168.0498046875 at tick 76, pnl: 49.0234375
trade 15: size: 100, entry: 4168.5498046875 at tick 79, exit: 4169.0400390625 at tick 79, pnl: 49.0234375
trade 16: size: 100, entry: 4168.7900390625 at tick 81, exit: 4168.27978515625 at tick 82, pnl: -51.025390625
trade 17: size: 100, entry: 4168.27978515625 at tick 82, exit: 4167.52978515625 at tick 83, pnl: -75
trade 18: size: 100, entry: 4167.52978515625 at tick 83, exit: 4167.5400390625 at tick 84, pnl: 1.025390625
trade 19: size: -100, entry: 4167.5400390625 at tick 86, exit: 4167.7900390625 at tick 87, pnl: -25
trade 20: size: 100, entry: 4167.7900390625 at tick 88, exit: 4168.0498046875 at tick 88, pnl: 25.9765625
